gpnum,x,y,z,ap1,rss1,ap2,rss2,ap3,rss3,ap4,rss4,ap5,rss5,ap6,rss6,ap7,rss7
1,0.15,0.60,0,18:d6:c7:4d:3b:ec,-58,c4:09:38:6d:3b:09,-62,f8:ab:05:4f:90:86,-61,CF:27:BE:19:4E:31,-84,CA:D9:80:DE:59:61,-60,CE:F1:1F:F8:97:20,-85,FC:B0:61:E1:7F:E2,-85
2,0.15,3.15,0,18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-53,f8:ab:05:4f:90:86,-62,CF:27:BE:19:4E:31,-79,CA:D9:80:DE:59:61,-71,CE:F1:1F:F8:97:20,-75,FC:B0:61:E1:7F:E2,-86
3,0.15,5.70,0,18:d6:c7:4d:3b:ec,-57,c4:09:38:6d:3b:09,-54,f8:ab:05:4f:90:86,-55,CF:27:BE:19:4E:31,-78,CA:D9:80:DE:59:61,-84,CE:F1:1F:F8:97:20,-72,FC:B0:61:E1:7F:E2,-83
4,0.15,8.25,0,18:d6:c7:4d:3b:ec,-66,c4:09:38:6d:3b:09,-52,f8:ab:05:4f:90:86,-57,CF:27:BE:19:4E:31,-86,CA:D9:80:DE:59:61,-85,CE:F1:1F:F8:97:20,-54,FC:B0:61:E1:7F:E2,-92
5,1.425,1.825,0,18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-57,f8:ab:05:4f:90:86,-60,CF:27:BE:19:4E:31,-86,CA:D9:80:DE:59:61,-68,CE:F1:1F:F8:97:20,-83,FC:B0:61:E1:7F:E2,-80
6,1.425,4.375,0,18:d6:c7:4d:3b:ec,-61,c4:09:38:6d:3b:09,-51,f8:ab:05:4f:90:86,-55,CF:27:BE:19:4E:31,-78,CA:D9:80:DE:59:61,-71,CE:F1:1F:F8:97:20,-73,FC:B0:61:E1:7F:E2,-84
7,1.425,6.925,0,18:d6:c7:4d:3b:ec,-66,c4:09:38:6d:3b:09,-55,f8:ab:05:4f:90:86,-60,CF:27:BE:19:4E:31,-72,CA:D9:80:DE:59:61,-82,CE:F1:1F:F8:97:20,-65,FC:B0:61:E1:7F:E2,-79
8,2.70,0.60,0,18:d6:c7:4d:3b:ec,-53,c4:09:38:6d:3b:09,-60,f8:ab:05:4f:90:86,-67,CF:27:BE:19:4E:31,-84,CA:D9:80:DE:59:61,-70,CE:F1:1F:F8:97:20,-83,FC:B0:61:E1:7F:E2,-79
9,2.70,3.15,0,18:d6:c7:4d:3b:ec,-57,c4:09:38:6d:3b:09,-54,f8:ab:05:4f:90:86,-64,CF:27:BE:19:4E:31,-77,CA:D9:80:DE:59:61,-69,CE:F1:1F:F8:97:20,-80,FC:B0:61:E1:7F:E2,-79
10,2.70,5.70,0,18:d6:c7:4d:3b:ec,-64,c4:09:38:6d:3b:09,-43,f8:ab:05:4f:90:86,-57,CF:27:BE:19:4E:31,-78,CA:D9:80:DE:59:61,-79,CE:F1:1F:F8:97:20,-77,FC:B0:61:E1:7F:E2,-80
11,2.70,8.25,0,18:d6:c7:4d:3b:ec,-67,c4:09:38:6d:3b:09,-43,f8:ab:05:4f:90:86,-53,CF:27:BE:19:4E:31,-71,CA:D9:80:DE:59:61,-82,CE:F1:1F:F8:97:20,-71,FC:B0:61:E1:7F:E2,-79
12,3.975,1.825,0,18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-53,f8:ab:05:4f:90:86,-59,CF:27:BE:19:4E:31,-82,CA:D9:80:DE:59:61,-74,CE:F1:1F:F8:97:20,-76,FC:B0:61:E1:7F:E2,-66
13,3.975,4.375,0,18:d6:c7:4d:3b:ec,-66,c4:09:38:6d:3b:09,-50,f8:ab:05:4f:90:86,-68,CF:27:BE:19:4E:31,-77,CA:D9:80:DE:59:61,-77,CE:F1:1F:F8:97:20,-74,FC:B0:61:E1:7F:E2,-73
14,3.975,6.925,0,18:d6:c7:4d:3b:ec,-63,c4:09:38:6d:3b:09,-45,f8:ab:05:4f:90:86,-55,CF:27:BE:19:4E:31,-63,CA:D9:80:DE:59:61,-81,CE:F1:1F:F8:97:20,-74,FC:B0:61:E1:7F:E2,-77
15,5.25,0.60,0,18:d6:c7:4d:3b:ec,-59,c4:09:38:6d:3b:09,-57,f8:ab:05:4f:90:86,-59,CF:27:BE:19:4E:31,-82,CA:D9:80:DE:59:61,-76,CE:F1:1F:F8:97:20,-81,FC:B0:61:E1:7F:E2,-56
16,5.25,3.15,0,18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-51,f8:ab:05:4f:90:86,-59,CF:27:BE:19:4E:31,-76,CA:D9:80:DE:59:61,-82,CE:F1:1F:F8:97:20,-78,FC:B0:61:E1:7F:E2,-70
17,5.25,5.70,0,18:d6:c7:4d:3b:ec,-67,c4:09:38:6d:3b:09,-40,f8:ab:05:4f:90:86,-60,CF:27:BE:19:4E:31,-65,CA:D9:80:DE:59:61,-82,CE:F1:1F:F8:97:20,-79,FC:B0:61:E1:7F:E2,-76
18,5.25,8.25,0,18:d6:c7:4d:3b:ec,-67,c4:09:38:6d:3b:09,-43,f8:ab:05:4f:90:86,-49,CF:27:BE:19:4E:31,-56,CA:D9:80:DE:59:61,-82,CE:F1:1F:F8:97:20,-77,FC:B0:61:E1:7F:E2,-79
