18:d6:c7:4d:3b:ec,-58,c4:09:38:6d:3b:09,-62,f8:ab:05:4f:90:86,-61
18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-53,f8:ab:05:4f:90:86,-62
18:d6:c7:4d:3b:ec,-57,c4:09:38:6d:3b:09,-54,f8:ab:05:4f:90:86,-55
18:d6:c7:4d:3b:ec,-66,c4:09:38:6d:3b:09,-52,f8:ab:05:4f:90:86,-57
18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-59,f8:ab:05:4f:90:86,-70
18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-51,f8:ab:05:4f:90:86,-61
18:d6:c7:4d:3b:ec,-66,c4:09:38:6d:3b:09,-53,f8:ab:05:4f:90:86,-59
18:d6:c7:4d:3b:ec,-53,c4:09:38:6d:3b:09,-60,f8:ab:05:4f:90:86,-67
18:d6:c7:4d:3b:ec,-57,c4:09:38:6d:3b:09,-54,f8:ab:05:4f:90:86,-64
18:d6:c7:4d:3b:ec,-64,c4:09:38:6d:3b:09,-43,f8:ab:05:4f:90:86,-57
18:d6:c7:4d:3b:ec,-67,c4:09:38:6d:3b:09,-43,f8:ab:05:4f:90:86,-53
18:d6:c7:4d:3b:ec,-59,c4:09:38:6d:3b:09,-59,f8:ab:05:4f:90:86,-59
18:d6:c7:4d:3b:ec,-65,c4:09:38:6d:3b:09,-46,f8:ab:05:4f:90:86,-64
18:d6:c7:4d:3b:ec,-62,c4:09:38:6d:3b:09,-50,f8:ab:05:4f:90:86,-61
18:d6:c7:4d:3b:ec,-59,c4:09:38:6d:3b:09,-57,f8:ab:05:4f:90:86,-59
18:d6:c7:4d:3b:ec,-60,c4:09:38:6d:3b:09,-51,f8:ab:05:4f:90:86,-59
18:d6:c7:4d:3b:ec,-67,c4:09:38:6d:3b:09,-40,f8:ab:05:4f:90:86,-60
18:d6:c7:4d:3b:ec,-67,c4:09:38:6d:3b:09,-43,f8:ab:05:4f:90:86,-49
