10:86:8c:8a:06:7c,-86
a0:8c:fd:5e:48:c3,-86,-85,-84,-83,-82,-85
3c:7a:8a:fd:23:d8,-82,-80,-82,-80,-82
70:8b:cd:c8:b1:30,-64,-70,-68,-64,-66
70:8b:cd:c8:b1:34,-89,-91,-91,-91
0c:b6:d2:e0:ad:b0,-89
2a:f5:a2:eb:f3:25,-86,-86
40:f2:01:fb:d7:bf,-85
98:13:33:4a:7f:f8,-86,-89,-86,-86,-82,-88,-67,-82,-85
ba:b9:8a:4d:24:ce,-90,-83
18:90:d8:dc:2b:2e,-75,-75,-74,-73,-75,-74,-75,-63,-70,-70,-69,-69,-71,-69
f0:82:61:46:9e:aa,-89,-90
42:65:a3:ac:56:a6,-83,-79,-80,-83
b8:ee:0e:ba:fc:a3,-77,-81,-79,-82,-78,-80,-80,-80,-79,-80,-83,-77,-82,-81,-79,-78,-80,-78,-81,-81,-79,-80,-81,-81,-79,-81,-79,-79,-80,-79,-79,-79,-80,-80
34:8a:ae:6b:5e:6f,-87
dc:fe:07:8c:bd:f8,-82
b8:ee:0e:ba:fc:a2,-64,-64,-66,-63,-62,-61,-62,-64,-63,-64,-61,-65,-64,-60,-62,-61,-61,-59,-59,-61,-60,-62,-61,-60,-62,-62,-61,-63,-63
94:8f:cf:81:3e:0d,-89,-89,-87,-87,-85,-88,-88
4c:12:65:0d:c0:5b,-86,-89
34:8a:ae:6b:5e:6e,-65,-60,-62,-61,-63,-67,-62,-65,-60,-61,-58,-63,-62,-60
40:c7:29:f6:4f:86,-85
18:60:24:d8:98:0a,-68,-60,-68,-61,-58,-66,-67,-62,-60,-57,-67,-57,-56,-62,-59,-68,-67,-62,-59,-62,-72,-60,-60,-71,-60
5a:d7:75:f8:18:ed,-83
78:24:af:7b:15:c8,-92,-88
e6:ab:05:4f:90:85,-75,-74,-74,-74,-73,-74,-74,-74,-74,-74,-72,-74,-70,-75,-70,-73,-72,-72,-73,-71,-74,-72,-70,-70,-71,-71,-73,-74,-73,-72,-72,-72,-71,-70,-71
6c:ca:08:bf:62:95,-91,-90,-90,-92,-91,-91,-89,-91,-91,-89,-91,-90,-89,-89,-91,-90,-90,-90,-89,-89,-89,-91,-91,-92,-89
00:cb:51:99:54:0a,-86,-87,-84
18:d6:c7:4d:3b:ee,-82,-83,-82,-84,-85,-87,-84,-86,-83,-86,-84,-81,-83,-85,-84,-85,-84,-83,-83,-83,-83,-83,-83,-83,-83,-82,-82,-85,-84,-83,-84,-84,-84,-84
50:c7:bf:a2:64:70,-85,-89,-92,-90
18:d6:c7:4d:3b:ec,-57,-62,-62,-63,-62,-63,-65,-64,-65,-63,-63,-62,-61,-64,-62,-62,-61,-62,-62,-62,-61,-64,-64,-64,-64,-62,-63,-64
c4:09:38:6d:3b:09,-45,-54,-49,-47,-51,-51,-46,-47,-51,-47,-43,-52,-42,-45,-47,-47,-47,-46,-47,-43,-44,-46,-43,-42,-42,-45,-45,-54,-48,-47,-48,-47,-46,-46,-46
f8:ab:05:55:49:b7,-90,-90,-91,-92,-91,-90,-90,-88,-91,-89,-89,-89,-92,-90,-90,-92
9c:c8:fc:2b:42:b2,-52,-54,-54,-53,-53,-54,-51,-51,-53,-52,-53,-52,-54,-54,-52,-54,-52,-53,-56,-55,-57,-56,-54
44:e9:dd:4b:40:be,-92,-85
c4:04:15:17:e1:90,-83,-85,-80,-86,-85
f8:ab:05:55:49:b6,-84,-60,-62,-65,-64,-65,-64,-64,-61,-60,-62,-62,-64,-64,-59,-63,-61,-61,-61,-60,-60,-61,-61,-59,-68,-70
44:e9:dd:4f:50:ea,-70,-73,-73,-72,-76,-75,-69,-73,-73,-77,-74,-75,-74,-74,-87,-79,-77,-77,-76
3a:b1:db:82:9d:c1,-81,-77,-77,-81,-83,-78
f0:82:61:46:9e:a9,-69,-69,-67,-67,-69,-65,-66,-64,-66,-67,-72,-70,-70,-72,-67,-67,-67,-68,-70,-67,-72,-72,-70
54:64:d9:f7:ac:50,-82
00:23:6a:75:42:66,-82,-82,-83,-84,-79,-84,-85,-82,-78,-86,-81,-79,-80,-81,-80,-81,-85,-84,-82,-83,-81
12:08:b1:54:f0:9c,-80,-83,-79,-80,-80,-80,-81,-80,-79,-81,-79,-81,-77,-77,-77,-77,-75,-79,-83,-79,-81,-79,-79
88:ad:43:cf:e7:38,-66,-73,-72,-72,-70,-73,-73,-69,-70,-67,-66,-70,-69,-67,-73,-69,-72
50:c7:bf:a2:64:6f,-71,-71,-66,-71
64:66:24:f2:ae:36,-86
f8:ab:05:4f:90:86,-48,-50,-52,-51,-52,-51,-49,-45,-47,-46,-46,-48,-45,-46,-47,-46,-45,-47,-46,-48,-47,-48,-49,-47,-48,-48
5a:d7:75:f8:10:9d,-87
f8:ab:05:4f:90:85,-77,-75,-73,-75,-73,-73,-73,-75,-74,-73,-72,-73,-71,-75,-70,-74,-72,-71,-74,-71,-71,-70,-71,-72,-72,-71,-72,-71,-73,-73,-71,-71,-71,-71,-70
f8:ab:05:4f:90:87,-70,-71,-68,-73,-71,-72,-72,-72,-72,-71,-72,-68,-70,-71,-70,-68,-69,-68,-68,-68,-67,-67,-67,-67,-67,-67,-70,-68,-68,-69,-70,-69,-70,-71
5c:8f:e0:5a:a6:77,-88,-85
3c:90:66:cd:44:3e,-86
62:e3:27:a1:06:14,-79,-83,-83,-80,-79,-86,-82
5c:8f:e0:32:5e:14,-88,-79,-86,-85
58:d5:6e:a9:68:33,-67,-70,-70,-72,-68,-72,-73,-73,-72,-73,-74,-72,-72,-71,-73,-78,-73,-70,-74,-68,-70,-78,-75,-73,-73
b6:b9:8a:4d:24:ce,-90
ac:f1:df:c8:c1:aa,-76,-86,-84,-84,-85,-83,-84,-85,-83,-85,-83,-78,-80,-82,-81,-81,-79,-84,-85,-83,-85
7c:8b:ca:f9:9a:95,-78,-85,-83,-88
58:d5:6e:a9:68:34,-91,-87,-90,-92,-89,-89,-89,-89,-89,-90,-89,-88,-90,-91,-89,-88,-88,-90,-90,-91,-91,-91,-91,-90,-90,-86,-88,-91,-90,-90,-89,-92,-91
18:a6:f7:bc:ed:39,-70,-74,-71,-72,-73,-74,-69,-72,-71,-70,-74,-76,-70,-68,-72,-72,-75,-71,-73,-73,-73,-72
f4:f2:6d:fc:76:6a,-83
40:65:a3:ac:56:a6,-82,-87,-85,-81
ec:ad:e0:d4:e8:f8,-71,-75,-72,-75,-65,-73,-74,-73,-75,-77,-75,-72,-73,-73,-73,-75,-74,-73,-78,-77,-77
42:65:a3:a8:a7:4e,-86,-84,-84
9c:d6:43:d6:2b:fe,-82
C2:3B:C4:50:F8:6B,-89,-84,-76
CF:27:BE:19:4E:31,-71,-91,-63
CA:D9:80:DE:59:61,-80,-74,-78,-86
CE:F1:1F:F8:97:20,-70,-77,-80,-76,-75
DF:5A:33:2A:96:47,-92,-90,-92
FC:B0:61:E1:7F:E2,-72,-66,-78,-76
DB:4F:6E:19:A2:52,-90,-87,-89
